,,ICR18650-30B,ICR18650-28A,INR18650-25R,ICR18650-32A,INR18650-29E,ANR26650M1B,APR18650M1A,NCR18650,NCR18650PF,INR18650 MH1,US18650V3,US18650VTC3,Leaf
Manufacturer,--,Samsung,Samsung,Samsung,Samsung,Samsung,A123,A123,Panasonic,Panasonic,LG,Sony,Sony,Nissan
Chemistry,,,,,,IMR,,,NCA,NCA,NCA,,,
Cell cost,$,5.805,5.595,11.03,13.97,5.925,9.75,free,17.47,6.035,11.01,4.46,5.095,32.25
Cell voltage,V,3.78,3.75,3.6,3.7,3.65,3.3,3.3,3.6,3.6,3.7,3.7,3.7,3.8
Cell capacity,Ah,2.95,2.8,2.5,3.2,2.85,2.5,1.1,3.35,2.9,3.2,2.15,1.6,33.1
Cell weight,g,48,47,43,48,45,76,39,47.5,46,48,44,45,799
Max discharge,A,5.9,5.6,20,6.4,2.75,70,30,5.5,10,10,10,30,
Recommended charge,A,1.475,,,,,,1.5,,1.365,,,,
Charge Voltage,V,4.35,,,,,,3.6,,4.2,,,,
Minimum temperature,c,"-20, +20","-20, +25","~ -20, 60","-20, 60","-20, +25","-30, 55","-30, 60",,"-20, 60","~ -20, 60","~ -20, 60","~ -20, 60",
Series count,#,12,12,16,16,16,16,12,12,14,12,16,16,12
Parallel count,#,7,4,4,4,4,4,6,6,6,7,4,4,4
Total count,#,84,48,64,64,64,64,72,72,84,84,64,64,48
Pack voltage,V,45.36,45,57.6,59.2,58.4,52.8,39.6,43.2,50.4,44.4,59.2,59.2,45.6
Pack capacity,Ah,20.65,11.2,10,12.8,11.4,10,6.6,20.1,17.4,22.4,8.6,6.4,132.4
Pack energy,Wh,936.684,504,576,757.76,665.76,528,261.36,868.32,876.96,994.56,509.12,378.88,6037.44
Pack discharge current,A,41.3,22.4,80,25.6,11,280,180,33,60,70,40,120,0
Pack discharge power,W,1873.368,1008,4608,1515.52,642.4,14784,7128,1425.6,3024,3108,2368,7104,0
Half pack power,W,936.684,504,2304,757.76,321.2,7392,3564,712.8,1512,1554,1184,3552,0
Pack charge voltage,V,52.2,,,,,,,,58.8,,,,
Pack charge current,A,10.325,,,,,,,,8.19,,,,
Recommended charge time,H,2,,,,,,,,2.12454212454212,,,,
Pack cost,$,487.62,268.56,705.92,894.08,379.2,624,,1257.84,506.94,924.84,285.44,326.08,1548
Pack weight,g,4032,2256,2752,3072,2880,4864,,3420,3864,4032,2816,2880,38352
Pack energy density,Wh / g,0.2323125,0.223404255319149,0.209302325581395,0.246666666666667,0.231166666666667,0.108552631578947,,0.253894736842105,0.22695652173913,0.246666666666667,0.180795454545455,0.131555555555556,0.157421777221527
Pack Wh per dollar,Wh / $,1.92093023255814,1.87667560321716,0.815956482320943,0.847530422333572,1.75569620253165,0.846153846153846,,0.690326273611906,1.72990886495443,1.07538601271571,1.78363228699552,1.16192345436703,3.90015503875969
Pack power per dollar,W / $,3.84186046511628,3.75335120643432,6.52765185856754,1.69506084466714,1.69409282700422,23.6923076923077,,1.1333714939897,5.96520298260149,3.3605812897366,8.29596412556054,21.7860647693817,0
Reference,,http://www.fasttech.com/products/1420/10002357/1384601-authentic-samsung-icr18650-30b-18650-4-35v,http://www.fasttech.com/products/0/10002357/1066607-authentic-samsung-icr18650-28a-18650-3-7v-2800mah,,http://www.fasttech.com/products/1420/10002357/1628903-samsung-icr18650-32a-3-7v-3200mah-rechargeable-li,http://www.fasttech.com/products/1420/10002357/1628904-samsung-inr18650-29e-3-65v-2850mah-rechargeable,http://www.a123systems.com/Collateral/Documents/English-US/A123%20Systems%20ANR26650%20Data%20Sheet.pdf,,http://industrial.panasonic.com/www-data/pdf2/ACA4000/ACA4000CE240.pdf,,http://d112tss1dzpest.cloudfront.net/wp-content/blogs.dir/26/files/2014/12/INR18650MH1_LGC.pdf?323d81,,http://www.repasebaterii.cz/files/img/datasheet/us18650v3.pdf,
,,,,,,,,,,8500.8,,,,
,,8.8704,,,,,,,,526.176,,,,
,,6.66666666666667,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Safety factor,1.1,,,,
,,,,,,,,,Cell count,92.4,,,,
,,,,,,,,,,46.2,,,,
