Battery System v0.1 Requirements,,,,,,
ID,Title,Requirement statement,Constraint,Type,System or Subsystem,"Test Method (I,A,D,T)"
Safety Requirements,,,,,,
0.1.1.0,Safety interlock,The battery system shall disconnect from discharge loads if an interlock switch is engaged,500uA maximum leakage current,Power,Protection,
0.1.1.1,Reverse polarity battery protection,The BMS shall be tolerant of a reverse polarity voltage on the battery input connector,100V maximum reverse voltage,Power,Power,
0.1.1.2,Low voltage pack discharge cut-off implementation,The low voltage pack discharge power-path cut-off will be implemented with a P-channel MOSFET load switch circuit,Power-path cut-off circuit design,Power,Power,
0.1.1.3,Over-current pack discharge cut-off implementation,The over-current pack discharge power-path cut-off will be implemented with a P-channel MOSFET load switch circuit,Power-path cut-off circuit design,Power,Power,
0.1.1.4,Over-voltage pack discharge cut-off implementation,The over-voltage pack discharge power-path cut-off will be implemented with a P-channel MOSFET load switch circuit,Power-path cut-off circuit design,Power,Power,
0.1.1.5,Failsafe Iq,The battery system shall dissipate less than a specified quiescent current when in the failsafe state,500 uAmp,Power,Power,
0.1.1.6,Manual interlock,The BMS shall disable discharge if the manual interlock switch is engaged,500uA maximum leakage current,Power,Power,
0.1.1.7,Watchdog timer,The BMS PCB shall enter failsafe when the microcontroller fails to send a valid SPI packet to the LT6803 with a time limit,1 second time limit,Digital,Power,
0.1.2.1,Reverse polarity charger protection,The BMS shall be tolerant of a reverse polarity voltage on the charger input connector,100V maximum reverse voltage,Power,Power,
0.1.3.1,BMS PCB battery fuse,The BMS PCB shall accept automotive blade fuses at the battery pack power connector,Fuse type,Power,Power,
Discharge Requirements,,,,,,
3.3.1.1,Low voltage pack discharge cut-off,The battery pack shall be electrically disconnected from the load when the battery voltage falls below a threshold.,36V threshold; 1V hysteresis,Power,Power,
3.3.1.2,Over-current pack discharge cut-off,The battery pack shall be electrically disconnected from the load when the discharge current exceeds a threshold.,35A threshold; <10mS cut-off latency,Power,Power,
3.3.1.3,Over/under-temperature pack discharge cut-off,The battery pack shall be electrically disconnected from the load if the pack temperature is outside of a set range,-15°C to 45°C temperature range,Power,Power,
3.3.2.1,Low voltage cell discharge cut-off,The battery pack shall be electrically disconnected from the load when any cell voltage falls below a threshold.,2.9V threshold; 0.15V hysteresis,Power,Power,
3.4.1.0,Balance status indication LED,The BMS PCB shall indicate the balancing status of each cell in the pack with a dedicated on-board LED,Human visible LED in circuit design,Digital,Balancing,
3.4.1.1,Cell balancing,The cells voltages shall be balanced through resistive dissipation to within a threshold,0.1V threshold,"Power, Digital",Balancing,
3.4.1.2,Balance status indication LED circuit topology,The balance status indication LED shall be in parallel with the power dissipation LED,Design of indication LED circuits,Power,Balancing,
3.4.2.1,Cell balancing current,The cells shall be balanced through resistive dissipation at a specific constant current,1A discharge rate,Power,Balancing,
Charge Requirements,,,,,,
4.0.0.1,Charge battery pack,The battery system will recharge when plugged into a power outlet,15 Amp 120VAC power input,Power,Charger,
4.3.1.1,Over-voltage pack charge cut-off,The battery pack shall be electrically disconnected from the charger when the pack voltage exceeds a threshold.,51.6V threshold,Power,Power,
4.3.1.2,Over-current pack charge cut-off,The battery pack shall be electrically disconnected from the load when the charge current exceeds a threshold.,8A threshold; <10mS cut-off latency,Power,Power,
4.3.1.3,Over/under-temperature pack charge cut-off,The battery pack shall be electrically disconnected from the charger if the pack temperature is outside of a set range,-15°C to 45°C temperature range,Power,Power,
4.3.2.1,Over-voltage cell charge cut-off,The battery pack shall be electrically disconnected from the charger when any cell voltage exceeds a threshold.,4.3V threshold,Power,Power,
Communication Requirements,,,,,,
6.1.2.0,CANbus physical and datalink layer standard,The CANbus interface shall follow the specifications of the ISO 11898-2:2003,CANbus physical and protocol layers,Digital,Microcontroller,
6.1.2.1,CANbus system reporting,The BMS PCB microcontroller shall report sensor and system status information to a remote master on the CANbus network,Deliver data,Digital,Microcontroller,
6.1.2.2,CANbus system control,The BMS PCB microcontroller shall respond to commands from a master on the CANbus network,Respond to CANbus commands,Digital,Microcontroller,
6.1.3.0,System status indication LED,The BMS PCB shall indicate the system state with a single on-board RGB LED,Human visible LED in circuit design,Digital,Microcontroller,
6.1.4.0,Reprogramming port,The BMC PCB shall have a JTAG connector for reprogramming the microcontroller,Accessibility of physical connector,"Digital, mechanical",Microcontroller,
6.1.5.0,USB debugging,The BMC PCB microcontroller shall communicate as a USB DFU or CDC device to allow in-field debugging,Accessibility of physical connector,"Digital, mechanical",Microcontroller,
6.1.6.1,Current sensor range,The battery and charge current sensors shall measure a specified current range,-50 Amp to +50 Amp DC,"Digital, power",Microcontroller,
6.1.6.2,Current sensor ADC resolution,The battery and charge current sensors shall sense with a specified resolution,0.05 Amp per ADC step,"Digital, power",Microcontroller,
Mechanical Requirements,,,,,,
7.0.0.0,User removable battery system,The battery system shall be removable from the trike-mounted enclosure by a single person in less than thirty seconds,Mounting and accessibility of components in enclosure,Mechanical,Enclosure,
7.1.1.1,Battery pack cable resistance,The battery pack power cabling must be less than a specific resistance,0.02 Ohm maximum resistance,"Power, Mechanical",Enclosure,
7.2.1.1,Shock dampening bushings,The battery system enclosure mounting will dampen vibration with polyurethane bushing,Mechanical design element,Mechanical,Enclosure,
7.2.2.1,Battery enclosure dust/water resistance,The battery enclosure must meet IP55 environmental resistance specifications,Water and dust ingress,Mechanical,Enclosure,
Environmental Requirements,,,,,,
8.1.1.1,Environmental temperature range,The battery system must maintain functionality over a temperature range of -15° to 40°C.,-15° to 40°C temperature range,Mechanical,System wide,
8.2.1.1,Non-PVC cabling,The battery system shall not use wires or cables with PVC sheathing,Wire and cable material,Manufacturing,System wide,
8.2.2.1,RoHS compliance,The battery system shall meet EU RoHS regulatory requirements,RoHS stipulations,Manufacturing,System wide,
,,,,,,
,,,,,,
Systems,,,,,,
Enclosure,,,,,,
Pack,,,,,,
Power,,,,,,
Charge,,,,,,
Balance,,,,,,
Logic,,,,,,
