ChibiBMS v0.1 Preliminary BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7937,86.5294,67.49273
Qty,Line Item,Manufacturer,MPN,Total Qty [1],Total Qty [10],Total Qty [100],SKU,SKU,SKU,Unit Price [1],Unit Price [1],Unit Price [1],Unit Price [10],Unit Price [10],Unit Price [10],Unit Price [100],Unit Price [100],Unit Price [100],Distributor [null],SKU [null],Unit Price [1],Unit Price [10],Unit Price [100],Line Total [1],Line Total [10],Line Total [100],Batch Total [1],Batch Total [10],Batch Total [100]
,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,,
1,BA2032,MPD,BA2032,1,10,100,BA2032-ND,,,1.16,,,1.077,,,0.97,,,Onlinecomponents.com,BA2032,1.06,1.06,0.88,1.06,1.06,0.88,1.06,10.6,88
4,EVQ-P2K02Q,Panasonic,EVQ-P2K02Q,4,40,400,P11084SDKR-ND,EVQ-P2K02Q,01X1652,0.83,0.82,0.388,0.6844,0.651,0.388,0.57024,0.544,0.388,Newark,01X1652,0.388,0.388,0.388,1.552,1.552,1.552,1.552,15.52,155.2
14,GRM188R61E105KA12D,Murata,GRM188R61E105KA12D,14,140,1400,490-3897-6-ND,GRM188R61E105KA12D,18X5182,0.044,0.026,0.025,0.0202,0.022,0.025,0.01101,0.022,0.021,Newark,18X5182,0.025,0.0202,0.01101,0.35,0.2828,0.15414,0.35,2.828,15.414
2,GRM1885C1H180FA01D,Murata,GRM1885C1H180FA01D,2,20,200,490-9716-1-ND,GRM1885C1H180FA01D,,0.16,0.16,,0.111,0.064,,0.0527,0.038,,Avnet Express,GRM1885C1H180FA01D/BKN,0.095,0.0545,0.0285,0.19,0.109,0.057,0.19,1.09,5.7
2,GRM1885C2A120JA01D,Murata,GRM1885C2A120JA01D,2,20,200,490-1329-1-ND,GRM1885C2A120JA01D,,0.1,0.32,,0.053,0.04,,0.0241,0.024,,Digi-Key,490-1329-1-ND,0.1,0.04,0.024,0.2,0.08,0.048,0.2,0.8,4.8
17,C3216X7S2A225K160AB,EPCOS,C3216X7S2A225K160AB,17,170,1700,445-5207-1-ND,C3216X7S2A225K160AB,87R4390,0.752,0.752,0.198,0.3647,0.275,0.198,0.2475,0.275,0.198,Newark,87R4390,0.198,0.198,0.198,3.366,3.366,3.366,3.366,33.66,336.6
9,C3216X5R1A107M160AC,EPCOS,C3216X5R1A107M160AC,9,90,900,445-6007-1-ND,C3216X5R1A107M160AC,12T1945,1.68,1.68,0.479,1.38,1.38,0.479,0.7237,0.808,0.479,Newark,12T1945,0.479,0.479,0.44,4.311,4.311,3.96,4.311,43.11,396
2,GRM1887U1H103JA01D,Murata,GRM1887U1H103JA01D,2,20,200,490-6394-1-ND,GRM1887U1H103JA01D,,0.27,0.27,,0.187,0.114,,0.0951,0.068,,Arrow,GRM1887U1H103JA01D,0.0381,0.0381,0.0381,0.0762,0.0762,0.0762,0.0762,0.762,7.62
1,GRM188F51H224ZA01D,Murata,GRM188F51H224ZA01D,1,10,100,490-1569-1-ND,GRM188F51H224ZA01D,,0.11,0.11,,0.081,0.044,,0.037,0.026,,Digi-Key,490-1569-1-ND,0.11,0.044,0.026,0.11,0.044,0.026,0.11,0.44,2.6
20,GRM188R71H104KA93D,Murata Erie,GRM188R71H104KA93D,20,200,2000,490-1519-1-ND,GRM188R71H104KA93D,18X5188,0.04,0.022,0.032,0.0182,0.013,0.032,0.0099,0.013,0.029,DKO Electronshik,441095,0.0203,0.013,0.0081,0.406,0.26,0.162,0.406,2.6,16.2
12,GRM188R61E106MA73D,Murata,GRM188R61E106MA73D,12,120,1200,490-7202-1-ND,GRM188R61E106MA73D,,0.354,0.215,,0.1768,0.129,,0.11615,0.129,,Mouser,GRM188R61E106MA73D,0.215,0.129,0.106,2.58,1.548,1.272,2.58,15.48,127.2
9,MMBZ5225B-7-F,Diodes Inc.,MMBZ5225B-7-F,9,90,900,MMBZ5225B-FDIDKR-ND,MMBZ5225B-7-F,,0.2,0.2,,0.1676,0.167,,0.0589,0.059,,Digi-Key,MMBZ5225B-FDIDKR-ND,0.2,0.141,0.0587,1.8,1.269,0.5283,1.8,12.69,52.83
